AC No,Year,Rank,Candidate,Party,Alliance,Votes,Valid Votes,Electors,Voteshare,Margin
42,2020,16,MAHAN KUMAR,SANKISVP,Other,1045,181673,289160,0.5752,-81343
42,2020,17,AMLESH KUMAR JHA,AIFB,Other,774,181673,289160,0.4260,-81614
42,2020,18,RANJIT KUMAR PASWAN,SAP,Other,741,181673,289160,0.4079,-81647
42,2020,19,ARJUN SHARMA,RPIRASH,Other,663,181673,289160,0.3649,-81725
43,2020,1,BIJENDRA PRASAD YADAV,JD(U),NDA,86174,171648,288703,50.2039,28099
43,2020,2,MINNATULLAH RAHMANI,INC,MGB,58075,171648,288703,33.8338,-28099
43,2020,3,PRABHASH CHANDRA MANDAL,LJP,Other,8515,171648,288703,4.9607,-77659
43,2020,4,ANIL KUMAR SINGH,IND,Other,5736,171648,288703,3.3417,-80438
43,2020,5,NOTA,NOTA,Other,4180,171648,288703,2.4352,-81994
43,2020,6,Suresh Kumar Azad,JHP,Other,2616,171648,288703,1.5240,-83558
